anonID,birthdate,edad,routeDate,month,day,year,region,gender,areaWealthLevel,badWeather,weatherRestrictions,region-gender-areaWealthLevel-badWeather-weatherRestrictions,areaPopulation,routeTotalDistance,numberOfShops,marketShare,avgAreaBenefits,timeFromAvg,advertising,employeeLYScore,employeeTenure,employeePrevComps,success
DQYG4399,26/10/1961,60,22/05/2020,5,22,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,53,22,28,68,23,-1,3,5,3,2,1
LXGX8321,30/05/1967,55,20/05/2020,5,20,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,77,34,22,88,22,0,3,5,3,3,1
FAEA9435,04/04/1969,53,18/05/2020,5,18,"2,020",AMESA,M,Low,Yes,No,AMESA-M-Low-Yes-Yes,7,24,22,57,24,0,3,3,3,2,1
WWCM3559,29/01/1981,41,14/05/2020,5,14,"2,020",LATAM,F,High,No,No,LATAM-F-High-No-No,50,26,22,67,23,0,3,5,2,2,1
RCVS6461,04/03/1986,36,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,66,23,24,72,21,0,3,5,2,2,-1
OUJO1181,19/08/1972,49,13/05/2020,5,13,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,30,27,28,66,17,0,1,3,0,1,1
DJTJ5657,23/04/1965,57,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,8,25,29,69,21,0,3,3,3,2,1
MXFI3356,21/09/1964,57,20/05/2020,5,20,"2,020",Europe,M,Low,No,No,Europe-M-Low-No-No,20,26,23,55,8,1,0,2,2,1,1
QMSC8888,24/03/1960,62,05/11/2020,11,5,"2,020",NA,M,Low,No,No,NA-M-Low-No-No,54,25,25,72,20,0,3,5,2,1,1
AHAE3034,08/05/1975,47,05/11/2020,11,5,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,7,23,25,62,12,0,1,3,3,2,1
OYSC2028,09/05/1982,40,05/11/2020,11,5,"2,020",APAC,M,High,No,No,APAC-M-High-No-No,17,20,25,74,84,0,3,3,2,1,1
CCAE5445,24/08/1967,54,,nan,nan,nan,APAC,M,Mid,No,No,APAC-M-Mid-No-No,31,23,27,65,13,0,1,3,1,2,1
WKZP5662,15/03/1962,60,,nan,nan,nan,NA,M,Low,No,No,NA-M-Low-No-No,5,24,22,53,10,0,1,2,3,1,1
BLTU6244,07/11/1972,49,20/05/2020,5,20,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,10,25,29,92,16,0,1,3,3,1,1
NMLB4531,21/10/1960,61,05/11/2020,11,5,"2,020",APAC,M,High,No,No,APAC-M-High-No-No,49,30,23,80,15,0,2,3,0,0,1
EKUI9668,06/02/1962,60,15/05/2020,5,15,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,35,26,23,74,16,1,0,3,3,2,-1
AZPQ9157,06/02/1977,45,15/05/2020,5,15,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,7,24,22,83,19,0,3,4,3,2,1
TYNX4664,21/01/1962,60,05/11/2020,11,5,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,7,24,23,80,16,0,2,3,3,1,1
FNQA4884,28/04/1963,59,19/05/2020,5,19,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,36,24,24,78,25,0,3,4,3,2,1
FBRU3438,14/01/1967,55,,nan,nan,nan,AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,7,29,23,82,21,0,0,3,1,1,1
PSNT5342,06/06/1986,36,,nan,nan,nan,Europe,M,Low,No,No,Europe-M-Low-No-No,8,25,24,73,18,0,2,3,2,2,1
DVZK7369,07/04/1965,57,20/05/2020,5,20,"2,020",APAC,M,NA,Yes,No,APAC-M-NA-Yes-Yes,6,22,25,68,18,0,1,2,3,2,1
XJTQ8599,29/08/1976,45,20/05/2020,5,20,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,12,23,22,61,17,0,1,3,2,2,1
ZZPJ7435,01/01/1973,49,,nan,nan,nan,LATAM,M,NA,Yes,No,LATAM-M-NA-Yes-Yes,7,36,26,90,15,0,2,3,1,2,1
RTFO6233,14/11/1966,55,,nan,nan,nan,LATAM,F,Low,No,No,LATAM-F-Low-No-No,26,22,28,82,12,0,2,3,3,1,1
BBVE7792,08/07/1963,59,05/12/2020,12,5,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,74,22,23,52,21,-1,3,5,3,1,1
EFIB7967,07/07/1978,44,,nan,nan,nan,LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,6,22,28,68,17,0,1,3,0,1,-1
KVOH4219,04/03/1980,42,21/05/2020,5,21,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,12,23,22,61,16,0,1,3,2,1,1
TUPI6489,17/01/1986,36,13/05/2020,5,13,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,7,25,22,64,17,1,1,3,2,2,0
SWGR9106,17/12/1977,44,19/05/2020,5,19,"2,020",NA,F,High,No,No,NA-F-High-No-No,59,21,26,35,22,0,3,5,3,1,1
FEOF8421,01/08/1971,50,15/05/2020,5,15,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,32,25,26,45,17,0,1,3,3,2,1
AZEC1441,16/07/1974,47,19/05/2020,5,19,"2,020",APAC,M,NA,No,No,APAC-M-NA-No-No,19,25,24,100,13,-1,2,3,3,2,1
BNWS1641,14/12/1966,55,21/05/2020,5,21,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,22,20,22,51,16,0,1,3,2,2,1
MQNO4589,10/02/1960,62,13/05/2020,5,13,"2,020",NA,M,High,No,No,NA-M-High-No-No,19,23,26,71,28,1,3,3,3,2,1
AOWY6020,09/01/1987,35,20/05/2020,5,20,"2,020",AMESA,M,NA,No,No,AMESA-M-NA-No-No,29,20,22,69,18,-1,3,3,2,1,1
MMZZ4806,06/04/1989,33,22/05/2020,5,22,"2,020",APAC,M,High,No,No,APAC-M-High-No-No,26,26,23,57,28,0,3,3,2,2,1
PYCN4142,06/06/1974,48,15/05/2020,5,15,"2,020",Europe,M,Low,No,No,Europe-M-Low-No-No,11,27,22,50,16,0,1,3,2,2,1
VJSY4059,13/04/1984,38,13/05/2020,5,13,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,7,33,24,53,74,0,2,3,2,2,-1
YAZB6960,30/01/1983,39,20/05/2020,5,20,"2,020",AMESA,M,High,No,No,AMESA-M-High-No-No,21,22,22,50,25,0,3,4,1,2,1
LLOV1536,29/06/1960,62,05/11/2020,11,5,"2,020",NA,F,Mid,No,No,NA-F-Mid-No-No,31,24,25,47,21,0,3,4,1,1,1
ZACS2397,27/09/1988,33,,nan,nan,nan,LATAM,F,Low,No,No,LATAM-F-Low-No-No,51,22,29,91,20,0,2,4,2,0,1
LURK4810,13/06/1967,55,18/05/2020,5,18,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,27,25,28,89,12,0,0,3,2,2,1
RMCP8246,21/02/1961,61,20/05/2020,5,20,"2,020",Europe,F,Low,No,No,Europe-F-Low-No-No,6,26,21,61,23,0,3,3,3,1,1
SCEO4101,18/01/1989,33,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,30,28,23,67,20,1,3,4,2,2,1
PKQE2318,05/08/1969,52,22/05/2020,5,22,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,30,23,25,88,21,0,1,3,0,1,1
HRNV7466,02/08/1967,54,19/05/2020,5,19,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,33,23,23,50,19,0,2,4,1,1,1
CRMR5489,30/01/1966,56,19/05/2020,5,19,"2,020",LATAM,M,High,Yes,No,LATAM-M-High-Yes-Yes,4,21,24,70,19,0,1,3,3,2,1
YSHE5461,02/12/1961,60,05/11/2020,11,5,"2,020",Europe,M,Low,No,No,Europe-M-Low-No-No,5,27,25,83,20,0,2,3,2,1,1
ASRN2253,19/04/1975,47,13/05/2020,5,13,"2,020",NA,M,High,No,No,NA-M-High-No-No,49,27,23,93,17,1,3,4,2,2,-1
RSLU8356,04/01/1967,55,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,7,19,24,42,15,0,3,3,3,2,1
TPND9412,02/06/1972,50,14/05/2020,5,14,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,13,23,24,71,14,0,0,2,1,1,1
PSUX3121,20/04/1968,54,15/05/2020,5,15,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,64,23,22,72,26,0,2,4,3,2,1
PINM6776,06/06/1981,41,05/12/2020,12,5,"2,020",AMESA,M,High,No,No,AMESA-M-High-No-No,22,19,27,92,49,0,3,3,2,1,1
AAQL5814,10/11/1981,40,05/11/2020,11,5,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,28,25,24,78,27,0,3,3,0,1,1
IXYX7791,19/09/1971,50,05/11/2020,11,5,"2,020",APAC,M,Low,No,No,APAC-M-Low-No-No,50,27,21,80,17,-1,3,4,2,1,1
QBID3725,31/12/1979,42,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,43,25,26,70,18,0,3,4,2,1,1
KIVD7413,12/11/1964,57,19/05/2020,5,19,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,28,26,26,83,20,0,1,3,0,1,1
MGJP3711,29/11/1964,57,18/05/2020,5,18,"2,020",APAC,M,Low,Yes,No,APAC-M-Low-Yes-Yes,3,21,22,81,15,-1,3,3,1,1,1
CVYS1145,09/12/1981,40,19/05/2020,5,19,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,44,22,24,92,40,0,3,5,2,2,1
HNSN4528,24/02/1983,39,05/12/2020,12,5,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,4,27,29,65,20,0,3,3,2,1,-1
HTRQ8207,23/07/1966,55,13/05/2020,5,13,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,81,26,21,55,17,1,3,5,3,2,1
POEN2384,30/08/1982,39,14/05/2020,5,14,"2,020",NA,M,High,Yes,No,NA-M-High-Yes-Yes,26,25,21,50,23,-1,3,4,2,2,1
KYQM1493,09/09/1986,35,19/05/2020,5,19,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,5,24,28,66,15,-1,1,2,2,1,1
ENUP6266,11/11/1972,49,13/05/2020,5,13,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,44,22,25,84,14,0,0,3,1,1,1
ZPNU1905,31/10/1969,52,13/05/2020,5,13,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,5,23,25,73,22,0,1,3,3,2,1
AWMN2358,24/06/1974,48,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,8,25,25,65,15,-1,0,3,0,1,0
AANY3124,14/10/1981,40,13/05/2020,5,13,"2,020",Europe,F,Low,No,No,Europe-F-Low-No-No,8,26,25,30,15,0,1,2,1,2,1
OYKH5201,09/05/1978,44,19/05/2020,5,19,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,3,25,28,50,11,0,2,2,3,1,1
BWMK5022,06/11/1965,56,,nan,nan,nan,NA,M,Mid,No,No,NA-M-Mid-No-No,26,25,21,75,22,0,3,4,3,2,1
AXQQ8033,04/12/1969,52,15/05/2020,5,15,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,3,25,21,63,22,0,1,3,0,1,1
TKJM5749,10/02/1977,45,22/05/2020,5,22,"2,020",LATAM,M,Low,No,No,LATAM-M-Low-No-No,73,36,21,51,16,0,3,5,3,1,-1
YNDN8432,13/04/1983,39,14/05/2020,5,14,"2,020",NA,M,High,No,No,NA-M-High-No-No,6,23,23,83,15,0,0,1,2,2,1
VHML4173,24/10/1988,33,05/12/2020,12,5,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,6,25,26,62,27,1,2,3,2,2,1
JIVP6441,03/04/1983,39,,nan,nan,nan,LATAM,M,Low,No,No,LATAM-M-Low-No-No,53,25,21,100,21,-1,3,4,2,2,1
PLJK8912,03/02/1963,59,22/05/2020,5,22,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,14,22,25,65,11,0,0,3,0,2,1
KOHX1324,22/07/1963,58,14/05/2020,5,14,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,10,24,23,78,20,0,3,3,0,2,1
SFBS7370,08/12/1966,55,,nan,nan,nan,NA,M,Mid,No,No,NA-M-Mid-No-No,26,19,27,88,26,0,3,3,0,2,1
ZOJS9501,04/04/1973,49,19/05/2020,5,19,"2,020",LATAM,F,High,No,No,LATAM-F-High-No-No,23,28,27,67,22,0,3,4,3,3,1
WZKO9811,20/05/1988,34,05/11/2020,11,5,"2,020",NA,M,High,No,No,NA-M-High-No-No,27,23,21,75,22,0,3,4,2,2,1
VBKJ3396,01/07/1974,48,21/05/2020,5,21,"2,020",APAC,M,Low,No,No,APAC-M-Low-No-No,4,24,22,55,20,0,0,3,1,1,1
UOZT9905,06/03/1977,45,,nan,nan,nan,APAC,M,Mid,Yes,No,APAC-M-Mid-Yes-Yes,66,24,24,82,18,0,2,4,1,1,1
IMZY1911,14/07/1984,37,05/12/2020,12,5,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,41,28,19,78,23,0,3,5,2,2,-1
IUEW4874,28/05/1987,35,18/05/2020,5,18,"2,020",APAC,M,High,Yes,No,APAC-M-High-Yes-Yes,22,25,23,67,14,1,3,4,2,2,1
CRYM4247,05/04/1981,41,05/12/2020,12,5,"2,020",AMESA,M,High,No,No,AMESA-M-High-No-No,8,20,27,64,36,0,3,4,2,2,1
MXZL9071,16/06/1969,53,19/05/2020,5,19,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,41,30,27,70,34,-1,3,3,0,1,1
BQZS4518,19/09/1975,46,05/11/2020,11,5,"2,020",AMESA,M,NA,No,No,AMESA-M-NA-No-No,8,23,27,62,20,0,0,2,2,1,1
YVLK3891,04/11/1966,55,19/05/2020,5,19,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,6,28,28,94,20,0,3,3,2,2,1
DAWT7569,02/05/1969,53,,nan,nan,nan,APAC,M,Low,No,No,APAC-M-Low-No-No,50,23,19,69,19,0,3,4,3,2,1
BWWF3286,25/11/1982,39,,nan,nan,nan,APAC,M,Low,No,No,APAC-M-Low-No-No,8,22,22,77,16,0,1,3,2,2,1
BUNR3423,24/10/1965,56,05/11/2020,11,5,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,20,24,22,88,14,1,1,3,1,2,1
YASL5671,20/02/1965,57,15/05/2020,5,15,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,8,29,24,61,9,0,0,2,2,2,1
KONJ3010,31/03/1974,48,13/05/2020,5,13,"2,020",LATAM,F,Mid,No,No,LATAM-F-Mid-No-No,72,19,29,67,19,0,3,5,3,1,1
ZOWJ3204,11/12/1977,44,14/05/2020,5,14,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,5,23,22,75,21,0,1,2,2,2,-1
MZRE4100,05/09/1988,33,22/05/2020,5,22,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,5,29,25,100,18,0,1,3,0,0,-1
JQNK1526,22/03/1985,37,22/05/2020,5,22,"2,020",NA,M,Low,No,No,NA-M-Low-No-No,5,23,25,62,13,-1,2,4,2,1,1
QWCY6392,21/07/1960,61,18/05/2020,5,18,"2,020",LATAM,F,High,No,No,LATAM-F-High-No-No,77,29,22,71,18,0,3,5,3,2,1
LRPJ6954,12/02/1982,40,20/05/2020,5,20,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,26,24,21,94,9,-1,1,3,1,2,1
TNQR1978,03/07/1962,60,21/05/2020,5,21,"2,020",NA,M,High,No,No,NA-M-High-No-No,4,24,27,48,25,0,2,3,2,1,1
NCJR9706,26/10/1972,49,18/05/2020,5,18,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,43,32,24,70,18,0,3,4,2,1,1
AEMC5358,02/05/1963,59,18/05/2020,5,18,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,56,28,26,100,25,-1,3,5,3,2,1
VQNO5987,04/10/1966,55,15/05/2020,5,15,"2,020",NA,F,Mid,No,No,NA-F-Mid-No-No,57,35,25,57,21,0,3,4,2,1,1
RSFQ2472,23/09/1967,54,05/12/2020,12,5,"2,020",NA,M,NA,No,No,NA-M-NA-No-No,21,21,21,45,13,0,0,2,1,2,0
GDJW4087,23/12/1977,44,13/05/2020,5,13,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,56,22,23,45,20,0,3,3,0,1,1
HGAQ2210,03/06/1972,50,18/05/2020,5,18,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,7,21,21,64,20,0,3,3,3,2,1
UXLY3736,18/09/1986,35,22/05/2020,5,22,"2,020",LATAM,M,High,No,No,LATAM-M-High-No-No,7,25,26,86,21,0,1,3,2,1,-1
SIFF3233,13/01/1986,36,19/05/2020,5,19,"2,020",Europe,M,High,No,No,Europe-M-High-No-No,22,26,21,83,14,0,2,3,2,3,1
BTBF7789,08/08/1976,45,20/05/2020,5,20,"2,020",LATAM,M,High,Yes,No,LATAM-M-High-Yes-Yes,34,25,29,61,11,0,1,3,2,2,1
INZD6796,15/05/1982,40,20/05/2020,5,20,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,51,29,22,72,29,1,3,4,2,2,1
EQUT3956,12/02/1969,53,,nan,nan,nan,LATAM,M,High,No,No,LATAM-M-High-No-No,19,23,26,80,14,0,0,3,3,2,1
STCI9175,02/01/1963,59,22/05/2020,5,22,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,9,24,27,55,24,0,2,3,2,2,1
JQEO5315,10/11/1972,49,15/05/2020,5,15,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,43,34,23,64,19,0,3,3,0,1,1
ONTM5651,15/05/1985,37,19/05/2020,5,19,"2,020",AMESA,M,Mid,Yes,No,AMESA-M-Mid-Yes-Yes,19,22,28,77,17,-1,3,3,2,1,1
RPNI4274,10/01/1979,43,15/05/2020,5,15,"2,020",LATAM,M,High,No,No,LATAM-M-High-No-No,31,22,22,60,19,0,0,3,2,1,1
JWJG5266,31/10/1982,39,18/05/2020,5,18,"2,020",LATAM,M,Low,No,No,LATAM-M-Low-No-No,30,20,23,71,20,0,3,4,2,1,1
ITZH9122,21/04/1981,41,,nan,nan,nan,APAC,M,NA,No,No,APAC-M-NA-No-No,9,19,26,100,21,0,2,3,2,2,1
PLMO6808,21/01/1985,37,19/05/2020,5,19,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,7,26,28,78,13,0,0,2,2,1,-1
WDOV5924,25/09/1984,37,05/11/2020,11,5,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,55,25,24,98,21,1,3,5,2,1,1
YBWR6430,19/07/1989,32,13/05/2020,5,13,"2,020",AMESA,M,NA,Yes,No,AMESA-M-NA-Yes-Yes,5,27,26,81,16,0,2,3,2,1,1
LRWI4426,29/08/1977,44,,nan,nan,nan,APAC,M,NA,Yes,Yes,APAC-M-NA-Yes-Yes,14,24,24,79,8,0,1,1,2,2,1
JOWW5829,22/08/1964,57,13/05/2020,5,13,"2,020",AMESA,M,High,No,No,AMESA-M-High-No-No,66,29,25,82,22,0,3,4,1,1,1
VLNM6192,24/03/1984,38,14/05/2020,5,14,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,6,24,27,67,11,0,1,3,2,1,1
ORDO7749,17/01/1970,52,21/05/2020,5,21,"2,020",APAC,M,Low,No,No,APAC-M-Low-No-No,30,32,23,71,14,0,2,3,2,1,1
NJFK9384,19/02/1970,52,13/05/2020,5,13,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,37,24,26,59,19,-1,3,4,2,1,1
EFTL7804,10/02/1983,39,14/05/2020,5,14,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,30,28,27,100,19,0,3,4,3,1,1
GOBV7462,31/07/1988,33,13/05/2020,5,13,"2,020",NA,M,High,No,No,NA-M-High-No-No,7,30,27,61,60,0,3,3,2,2,1
QSDY2921,18/02/1962,60,19/05/2020,5,19,"2,020",NA,M,High,No,No,NA-M-High-No-No,33,25,21,64,21,-1,3,4,2,2,1
IGKQ3648,14/11/1974,47,19/05/2020,5,19,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,5,25,25,45,16,0,2,4,3,1,-1
MNQW8119,12/02/1967,55,05/11/2020,11,5,"2,020",LATAM,M,Low,No,No,LATAM-M-Low-No-No,10,26,26,60,20,0,1,1,1,1,1
DLBQ5061,04/02/1971,51,15/05/2020,5,15,"2,020",Europe,M,Low,No,No,Europe-M-Low-No-No,46,23,20,57,17,0,2,4,3,2,1
STIN3530,03/12/1985,36,15/05/2020,5,15,"2,020",APAC,M,Low,No,No,APAC-M-Low-No-No,57,25,29,86,16,0,2,4,3,1,1
CLQD4952,13/11/1963,58,19/05/2020,5,19,"2,020",NA,M,Low,No,No,NA-M-Low-No-No,9,21,29,47,12,0,0,3,0,1,1
RLFQ6195,23/04/1989,33,21/05/2020,5,21,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,39,21,23,89,21,0,2,4,2,0,1
XAKB6656,09/09/1974,47,18/05/2020,5,18,"2,020",Europe,M,Low,No,No,Europe-M-Low-No-No,4,25,28,100,18,0,1,3,2,1,1
CJOJ2034,04/05/1972,50,,nan,nan,nan,Europe,M,Mid,No,No,Europe-M-Mid-No-No,5,19,28,90,14,0,3,2,3,2,1
AGXK5558,04/09/1961,60,13/05/2020,5,13,"2,020",NA,M,NA,No,No,NA-M-NA-No-No,56,27,19,51,17,0,3,4,3,2,1
UCKT2075,18/04/1962,60,19/05/2020,5,19,"2,020",AMESA,M,Mid,No,No,AMESA-M-Mid-No-No,65,24,23,50,13,0,3,5,2,2,1
HNIX7766,18/07/1968,53,14/05/2020,5,14,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,72,33,22,51,15,0,2,5,2,1,1
STPW2655,19/11/1970,51,,nan,nan,nan,AMESA,M,High,No,No,AMESA-M-High-No-No,44,24,24,75,19,0,3,4,1,1,-1
RYUU8217,25/01/1974,48,22/05/2020,5,22,"2,020",NA,M,Low,No,No,NA-M-Low-No-No,32,25,21,33,15,0,3,4,2,2,1
UGGT4752,17/02/1984,38,15/05/2020,5,15,"2,020",NA,M,NA,No,No,NA-M-NA-No-No,69,24,21,66,19,0,3,5,1,1,1
PSLL3242,01/01/1963,59,18/05/2020,5,18,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,49,22,26,88,21,0,3,4,3,2,1
UTBW5614,23/01/1967,55,19/05/2020,5,19,"2,020",LATAM,M,High,No,No,LATAM-M-High-No-No,40,22,23,89,21,0,2,4,2,1,1
TRRQ7980,09/09/1962,59,05/12/2020,12,5,"2,020",Europe,M,NA,No,No,Europe-M-NA-No-No,27,29,24,61,20,0,3,4,2,2,1
IPCZ4051,10/10/1960,61,19/05/2020,5,19,"2,020",Europe,M,NA,No,No,Europe-M-NA-No-No,34,24,21,76,23,1,3,3,3,2,1
WKZG3095,03/02/1989,33,05/12/2020,12,5,"2,020",LATAM,M,High,No,No,LATAM-M-High-No-No,28,18,24,47,14,0,3,3,0,1,1
EOND7129,04/09/1979,42,05/12/2020,12,5,"2,020",APAC,M,Low,No,No,APAC-M-Low-No-No,22,24,27,82,22,0,2,3,0,1,1
JDXQ2043,23/02/1966,56,13/05/2020,5,13,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,41,23,23,61,28,0,3,4,1,1,1
